iter	Logloss
0	0.5795842574
1	0.5108279982
2	0.4478815841
3	0.4035776436
4	0.3710146844
5	0.3459154077
6	0.3316363982
7	0.3151958248
8	0.3027757736
9	0.2942786653
10	0.2863089808
11	0.278021455
12	0.2708782901
13	0.2651848976
14	0.2601877909
15	0.2564276285
16	0.252644913
17	0.249634735
18	0.2464360436
19	0.2436817577
20	0.2408080337
21	0.2379841039
22	0.2345742662
23	0.2321553694
24	0.2288514749
25	0.22625855
26	0.2246327437
27	0.2221829897
28	0.2204303734
29	0.2173396158
30	0.2156912021
31	0.2135017886
32	0.2119379579
33	0.209345558
34	0.2066231216
35	0.2052467688
36	0.2039665338
37	0.2025128776
38	0.2009888363
39	0.2000099108
40	0.1985160573
41	0.1971459799
42	0.1958852427
43	0.1950376018
44	0.1940963312
45	0.1921148781
46	0.1906672747
47	0.1893305123
48	0.1883727881
49	0.1877831979
50	0.1867825113
51	0.1860510419
52	0.1849290357
53	0.1838343749
54	0.1828453711
55	0.1816509678
56	0.1805093716
57	0.1796214104
58	0.1785534904
59	0.1773977448
60	0.1768155851
61	0.1763711793
62	0.1752565111
63	0.1740669528
64	0.1732434859
65	0.1722639245
66	0.171280665
67	0.1708409425
68	0.1704482072
69	0.1699619275
70	0.1694934265
71	0.169086508
72	0.1685675511
73	0.1679397581
74	0.1671832436
75	0.1665684258
76	0.1657991837
77	0.1651241918
78	0.1643956573
79	0.1637387045
80	0.1631884049
81	0.1625555684
82	0.1618788017
83	0.1613679082
84	0.1607945102
85	0.1603278413
86	0.1599766267
87	0.1593338611
88	0.1590354398
89	0.1582630074
90	0.1577700651
91	0.1569241707
92	0.1564212455
93	0.155982264
94	0.1552075213
95	0.1548049374
96	0.154446757
97	0.1539175107
98	0.1534474062
99	0.1530823872
100	0.1526756839
101	0.1521611564
102	0.1515582786
103	0.1511018826
104	0.1505662679
105	0.1501362008
106	0.1497273543
107	0.1492028487
108	0.1485669537
109	0.1480763177
110	0.1476721882
111	0.147295893
112	0.1468874239
113	0.1464177141
114	0.1459284274
115	0.1454752059
116	0.1448806195
117	0.1446606027
118	0.1443882909
119	0.1435593122
120	0.1429630896
121	0.1427241629
122	0.1422964559
123	0.1419594774
124	0.1413384196
125	0.1408422301
126	0.1404899859
127	0.139997614
128	0.1395229008
129	0.1391009289
130	0.1386650347
131	0.1383279745
132	0.1377590092
133	0.1374292355
134	0.1370985372
135	0.1367661572
136	0.136491611
137	0.1360907613
138	0.1357344445
139	0.1353639242
140	0.1350583647
141	0.1347123502
142	0.1344237157
143	0.1340073519
144	0.1336796444
145	0.1334732165
146	0.1332357606
147	0.1329763231
148	0.1328472069
149	0.1325397252
150	0.1323031277
151	0.1319192166
152	0.1317000328
153	0.1312835317
154	0.1310483647
155	0.1306772187
156	0.1303345978
157	0.1301970942
158	0.1298634402
159	0.1295936657
160	0.1291340816
161	0.1288706967
162	0.128544658
163	0.1279582421
164	0.127689039
165	0.1275386835
166	0.1271593917
167	0.1268600925
168	0.1265452252
169	0.1263195072
170	0.1260811811
171	0.1258383944
172	0.125646654
173	0.1254008508
174	0.1251257075
175	0.1248405849
176	0.1245088646
177	0.1240802952
178	0.1238252573
179	0.1234358598
180	0.123006707
181	0.1225268565
182	0.1222371525
183	0.121960955
184	0.1217478171
185	0.121456742
186	0.121224397
187	0.1209255537
188	0.1206407883
189	0.1205357155
190	0.1202624606
191	0.1200273912
192	0.1197233266
193	0.1195460945
194	0.1194108745
195	0.1190267393
196	0.1187962475
197	0.1185165706
198	0.1182349545
199	0.1178126668
200	0.1174994142
201	0.1172062452
202	0.116925697
203	0.1167174246
204	0.1165397447
205	0.1162970366
206	0.1160562
207	0.1157910846
208	0.1155749757
209	0.1153433023
210	0.1151080018
211	0.1149301937
212	0.1147354512
213	0.1145217397
214	0.1143499746
215	0.1141683037
216	0.1139587144
217	0.113768499
218	0.1134500566
219	0.1133026968
220	0.1130639347
221	0.1127573632
222	0.112590802
223	0.1123853481
224	0.1121689988
225	0.1118158357
226	0.1116319967
227	0.1114586401
228	0.1113338133
229	0.1111146496
230	0.1109635687
231	0.1107649975
232	0.1105113995
233	0.1103079376
234	0.1101146722
235	0.1099287944
236	0.1097820897
237	0.1095573436
238	0.1093698637
239	0.1091379791
240	0.1087899265
241	0.1085689004
242	0.1084268306
243	0.1082469365
244	0.1080200852
245	0.1078382873
246	0.1076370072
247	0.1074695211
248	0.1072274587
249	0.1070009136
250	0.1068281083
251	0.1066975727
252	0.1064611356
253	0.1062985297
254	0.1060801341
255	0.1058670071
256	0.1057827378
257	0.1056151082
258	0.1054799832
259	0.1054075497
260	0.1052135654
261	0.1050574283
262	0.1048772365
263	0.1046976354
264	0.1044684906
265	0.1042218567
266	0.1039574888
267	0.1037295915
268	0.1036480996
269	0.1034562923
270	0.1032848087
271	0.1030565732
272	0.1028630792
273	0.1027500695
274	0.1026055105
275	0.1023800712
276	0.1022096808
277	0.1020439951
278	0.1018918819
279	0.101787025
280	0.1016523006
281	0.1014616053
282	0.1013248046
283	0.1011739445
284	0.1009984438
285	0.1008515966
286	0.1006963895
287	0.1005456791
288	0.1004330721
289	0.1002653788
290	0.1000941722
291	0.09994162473
292	0.09984925916
293	0.09973718531
294	0.09963138125
295	0.09951747468
296	0.09929333752
297	0.0992357795
298	0.09906199408
299	0.09897818916
300	0.0988696348
301	0.09883718433
302	0.09869108131
303	0.09855992943
304	0.09841586345
305	0.09827852768
306	0.09808727382
307	0.09797878418
308	0.09788904955
309	0.09777813368
310	0.09768073862
311	0.09752362963
312	0.09728617222
313	0.09718238401
314	0.0970627845
315	0.0969261332
316	0.09677076898
317	0.09659472018
318	0.09645367261
319	0.09629090491
320	0.09614087982
321	0.09598721807
322	0.09587451992
323	0.09575725485
324	0.09560871944
325	0.09549378244
326	0.0953761686
327	0.09525395645
328	0.09511524367
329	0.09497535493
330	0.09482585688
331	0.09464451838
332	0.09455256163
333	0.09443695818
334	0.0943138353
335	0.09420587509
336	0.09411891054
337	0.09391704604
338	0.09377982326
339	0.09364694346
340	0.09355407619
341	0.09340148018
342	0.09328418956
343	0.09315282722
344	0.09300448465
345	0.09287859569
346	0.09277534958
347	0.09264360389
348	0.09252387014
349	0.09236365479
350	0.09230730954
351	0.09220128312
352	0.09202426906
353	0.09188834382
354	0.09175368737
355	0.09165635746
356	0.09152824247
357	0.09129196548
358	0.09121323867
359	0.09109446783
360	0.09092083858
361	0.09081148674
362	0.09064138528
363	0.09054431997
364	0.0904473447
365	0.09031854187
366	0.09023759739
367	0.09015341322
368	0.09005521917
369	0.08998522242
370	0.08984516671
371	0.08975907495
372	0.08960871005
373	0.08953092195
374	0.08940076058
375	0.08928822651
376	0.08915302643
377	0.08908207517
378	0.08901248633
379	0.08891108231
380	0.08883516771
381	0.08865718482
382	0.08855118331
383	0.08843220263
384	0.08832615786
385	0.08824111184
386	0.0881130489
387	0.08800713618
388	0.08786641357
389	0.08774247598
390	0.08765350709
391	0.08754290376
392	0.0874070948
393	0.08723040024
394	0.08709832679
395	0.08699896869
396	0.08690696933
397	0.08681489556
398	0.08670351344
399	0.08664812268
400	0.08655835633
401	0.08645421255
402	0.0863948154
403	0.08629651129
404	0.08623917863
405	0.08614825973
406	0.0860756451
407	0.08598211036
408	0.08589814642
409	0.08584972534
410	0.08573238282
411	0.08564593324
412	0.08548877972
413	0.08540836331
414	0.08523683402
415	0.08515243676
416	0.08510474157
417	0.08500970472
418	0.08491652293
419	0.08487528826
420	0.08481346497
421	0.08475218498
422	0.08467733219
423	0.08459304259
424	0.08452298824
425	0.08434935953
426	0.08420920799
427	0.08412239808
428	0.08407359516
429	0.0840151889
430	0.08384033108
431	0.08377236904
432	0.08366893792
433	0.08356933187
434	0.08347604038
435	0.08341070503
436	0.08331946658
437	0.08323830845
438	0.08317709306
439	0.0830828876
440	0.08296931763
441	0.08288754216
442	0.0828291491
443	0.08278004539
444	0.08270613681
445	0.08264664427
446	0.08252757686
447	0.08245341192
448	0.08239981302
449	0.08232706454
450	0.08227417491
451	0.08219609264
452	0.08211838524
453	0.08199275929
454	0.08188922137
455	0.0817904252
456	0.08171224211
457	0.08159672502
458	0.08148272324
459	0.08144511786
460	0.08136251139
461	0.08124687764
462	0.08114707347
463	0.0810333627
464	0.08096106158
465	0.08088319614
466	0.08080764865
467	0.08077952534
468	0.08067009198
469	0.08062502174
470	0.0805648728
471	0.08049384502
472	0.08044112804
473	0.08034637193
474	0.08028022156
475	0.0801772677
476	0.08011481872
477	0.08002377085
478	0.0799659962
479	0.07984154305
480	0.07970558852
481	0.07962100706
482	0.07950407021
483	0.07945456509
484	0.07941198054
485	0.0793079387
486	0.07921870268
487	0.07913395854
488	0.07907049915
489	0.07898034888
490	0.0789389244
491	0.0788366633
492	0.07880724506
493	0.07874350677
494	0.0786999116
495	0.0786080419
496	0.07847465337
